emp_id,name,dept,hire_date,job_title,tenure_years,tenure_category,date,leave_type,hours_worked,leave_days,total_hours,avg_hours_worked,dept_avg_hours_worked,dept_total_leave_days,dept_headcount
1002,Amanda Hammond,Finance,2018-07-06 00:00:00.000,Analyst,8,Senior,NULL,Sick,6,2,12.32,6.16,6.348235294117647,34,9
1002,Amanda Hammond,Finance,2018-07-06 00:00:00.000,Analyst,8,Senior,2025-09-02 00:00:00.000,Sick,6.32,2,12.32,6.16,6.348235294117647,34,9
1003,Bethany Hernandez,Sales,2020-08-15 00:00:00.000,Executive,6,Senior,2025-05-07 00:00:00.000,NULL,6.32,1,12.32,6.16,6.58,4,3
1003,Bethany Hernandez,Sales,2020-08-15 00:00:00.000,Executive,6,Senior,2024-04-08 00:00:00.000,Vacation,6,1,12.32,6.16,6.58,4,3
1004,Ashley Curry DDS,Finance,2020-04-18 00:00:00.000,Analyst,6,Senior,2025-11-03 00:00:00.000,Vacation,5,4,28.64,7.16,6.348235294117647,34,9
1004,Ashley Curry DDS,Finance,2020-04-18 00:00:00.000,Analyst,6,Senior,2025-01-01 00:00:00.000,Vacation,11,4,28.64,7.16,6.348235294117647,34,9
1004,Ashley Curry DDS,Finance,2020-04-18 00:00:00.000,Analyst,6,Senior,2024-06-11 00:00:00.000,Vacation,6.32,4,28.64,7.16,6.348235294117647,34,9
1004,Ashley Curry DDS,Finance,2020-04-18 00:00:00.000,Analyst,6,Senior,2025-11-06 00:00:00.000,Vacation,6.32,4,28.64,7.16,6.348235294117647,34,9
1005,Omar Erickson,Marketing,2020-02-04 00:00:00.000,Engineer,6,Senior,NULL,Sick,12,4,29.64,7.41,6.285,21,4
1005,Omar Erickson,Marketing,2020-02-04 00:00:00.000,Engineer,6,Senior,NULL,Vacation,6.32,4,29.64,7.41,6.285,21,4
1005,Omar Erickson,Marketing,2020-02-04 00:00:00.000,Engineer,6,Senior,NULL,Vacation,5,4,29.64,7.41,6.285,21,4
1005,Omar Erickson,Marketing,2020-02-04 00:00:00.000,Engineer,6,Senior,2024-05-09 00:00:00.000,Sick,6.32,4,29.64,7.41,6.285,21,4
1006,Jacob Mendez,HR,2015-11-24 00:00:00.000,Executive,11,Senior,NULL,NULL,6.32,0,6.32,6.32,5.228571428571429,4,5
1007,Christina Murphy,Finance,2019-11-01 00:00:00.000,Manager,7,Senior,NULL,Vacation,10,1,10,10,6.348235294117647,34,9
1009,Diana Smith,Finance,2020-06-09 00:00:00.000,Executive,6,Senior,NULL,Vacation,0,1,0,0,6.348235294117647,34,9
1012,Cody Serrano,HR,2025-04-03 00:00:00.000,Analyst,1,Mid,NULL,NULL,2,0,8.32,4.16,5.228571428571429,4,5
1012,Cody Serrano,HR,2025-04-03 00:00:00.000,Analyst,1,Mid,2024-05-10 00:00:00.000,NULL,6.32,0,8.32,4.16,5.228571428571429,4,5
1015,Angela Escobar,Sales,2023-09-11 00:00:00.000,Analyst,3,Mid,2025-06-01 00:00:00.000,Sick,10,1,10,10,6.58,4,3
1016,Nathan Burnett,Marketing,2019-03-04 00:00:00.000,Executive,7,Senior,2024-12-12 00:00:00.000,Other,6.32,2,12.32,6.16,6.285,21,4
1016,Nathan Burnett,Marketing,2019-03-04 00:00:00.000,Executive,7,Senior,NULL,Other,6,2,12.32,6.16,6.285,21,4
1018,Stephanie Smith,IT,2023-11-19 00:00:00.000,Specialist,3,Mid,2025-06-02 00:00:00.000,NULL,4,0,4,4,7.137142857142857,8,5
1019,Christina Powell,Finance,2017-04-10 00:00:00.000,Executive,9,Senior,NULL,Sick,6,2,17,8.5,6.348235294117647,34,9
1019,Christina Powell,Finance,2017-04-10 00:00:00.000,Executive,9,Senior,NULL,Other,11,2,17,8.5,6.348235294117647,34,9
1020,Gregory Huffman,Operations,2019-05-01 00:00:00.000,Engineer,7,Senior,NULL,Other,7,1,7,7,6.417142857142857,10,5
1021,Joseph Kirk,Sales,2021-09-19 00:00:00.000,Manager,5,Senior,NULL,Vacation,4,1,4,4,6.58,4,3
1023,Andrea King,IT,2015-08-26 00:00:00.000,Executive,11,Senior,NULL,NULL,3,0,3,3,7.137142857142857,8,5
1024,Stephanie Aguirre,Finance,2021-10-12 00:00:00.000,Specialist,5,Senior,2025-06-05 00:00:00.000,NULL,6.32,1,13.64,4.546666666666667,6.348235294117647,34,9
